no ,URL ,Rating ,IP Address ,Update Date 
17206,buddha-porn.com,6,208.53.158.32,8/1/2007
17205,www.buddha-porn.com,6,208.53.158.32,8/1/2007
17204,youtube.com/watch?v=KzWVWY5QUzg,6,208.65.153.242,7/1/2007
17203,www.youtube.com/watch?v=KzWVWY5QUzg,6,208.65.153.253,7/1/2007
17202,youzaa.com,6,193.192.247.90,7/1/2007
17201,www.youzaa.com,6,193.192.247.90,7/1/2007
17200,kasikornbankin.com,6,,7/1/2007
17199,www.kasikornbankin.com,6,,7/1/2007
17198,www.kasikornbanking.org,6,,7/1/2007
17197,sanctionthailand.50webs.com,8,64.72.112.89,7/1/2007
17196,getoutthailand.bravehost.com,8,65.39.211.100,7/1/2007
17195,www.getoutthailand.bravehost.com,8,65.39.211.100,7/1/2007
17181,edition.cnn.com/2006/WORLD/asiapcf/09/20/thai.king.ap/,6,,
17179,seattlepi.nwsource.com/national/1104AP_King_vs,6,,
17178,aqw.cheapxmovie.com,6,,
17172,bnv.cheapxmovie.com,6,,
17167,www.amateurgirlssex.com,6,,
17166,amateurgirlssex.com,6,,
17165,www.amateur2u.com,6,,
17164,amateur2u.com,6,,
17163,www.reservedsex.com,6,,
17162,reservedsex.com,6,,
17161,xgallsx.com,6,,
17160,www.xgallsx.com,6,,
17159,invisionplus.net,6,,
17155,www.hotnisit.up.to,6,,
17154,hotnisit.up.to,6,,
17153,www.ad.juliepost.com,6,,
17152,ad.juliepost.com,6,,
17151,www.missmature.net,6,,
17150,missmature.net,6,,
17149,danishgrannies.com,6,,
17148,www.danishgrannies.com,6,,
17147,www.milfway.com,6,,
17146,milfway.com,6,,
17143,housewifebangers.com,6,,
17142,www.housewifebangers.com,6,,
17140,www.0lteenporn.com,6,,
17139,0lteenporn.com,6,,
17138,www.sweetgalleries.net,6,,
17137,sweetgalleries.net,6,,
17136,homespyvideo.com,6,,
17135,www.homespyvideo.com,6,,
17134,www.pornoexit.com,6,,
17133,pornoexit.com,6,,
17132,suzybabe.com,6,,
17131,www.suzybabe.com,6,,
17130,85thumbs.com,6,,
17129,www.85thumbs.com,6,,
17128,content.lustybucks.com,6,,
17127,jpg-girls.com,6,,
17126,www.jpg-girls.com,6,,
17125,yuk.cheapxmovie.com,6,,
17124,e26.gozeb.com,6,,
17123,ftf.cheapxmovie.com,6,,
17122,e34.gozeb.com,6,,
17121,dumpdum.com,6,,
17120,www.dumpdum.com,6,,
17114,come.to/5111,6,,
17113,edition.cnn.com/2006/WORLD/asiapcf/09/20/thai.king.ap/index.html,6,,
17112,e38.gozeb.com,6,,
17111,www.fastcar.psend.com,6,,
17110,fastcar.psend.com,6,,
17109,freehost08.websamba.com/home5111,6,,
17108,www.cutemag.100free.com,6,,
17107,asd.cheapxmovie.com,6,,
17106,e17.gozeb.com,6,,
17105,cutemag.100free.com,6,,
17104,groups.msn.com/5111a,6,,
17103,vcdguru.com,6,,
17102,www.vcdguru.com,6,,
17101,ads.godungdvd.com,6,,
17100,azk.cheapxmovie.com,6,,
17099,e22.gozeb.com,6,,
17098,aza.cheapxmovie.com,6,,
17097,e13.gozeb.com,6,,
17096,www.aam.cheapxmovie.com,6,,
17095,dtt.gozeb.com,6,,
17094,webxstory.3000.mb.com,6,,
17093,www.webxstory.3000.mb.com,6,,
17091,idea2.godungdvd.com,6,,
17090,dtn.gozeb.com,6,,
17089,imgloading.com/gallery.php?gid=1660520,6,,
17088,www.imgloading.com/gallery.php?gid=1660520,6,,
17087,xxxloading.com,6,,
17086,www.xxxloading.com,6,,
17085,abt.cheapxmovie.com,6,,
17084,www.b.1asphost.com,6,,
17083,b.1asphost.com,6,,
17082,bf3.godungdvd.net,6,,
17081,idea1.godungdvd.com,6,,
17080,aam.cheapxmovie.com,6,,
17079,move5.godungdvd.com,6,,
17078,diy.gozeb.com,6,,
17075,www.sixxx.info,6,,
17073,adu.6park.com,6,,
17072,theadultschannel.com,6,,
17071,www.theadultschannel.com,6,,
17070,taiwangirlz.com,6,,
17069,www.taiwangirlz.com,6,,
17068,www.asian.adultfriendfinder.com,6,,
17067,asian.adultfriendfinder.com,6,,
17064,aar.cheapxmovie.com,6,,
17061,max2.doopicx.com,6,,
17060,aop.cheapxmovie.com,6,,
17059,geocities.com/sunbangkok,6,,
17058,www.geocities.com/sunbangkok,6,,
17055,aat.cheapxmovie.com,6,,
